age;familysize;gender;married;race;religion;Q1A;Q2A;Q3A;Q4A;Q5A;Q6A;Q7A;Q8A;Q9A;Q10A
6;2;0;0;2;0;1;4;1;2;3;1;1;3;2;3
10;1;0;0;2;0;1;1;2;2;4;1;1;0;1;1
8;3;0;0;0;0;1;2;2;2;3;1;1;2;2;4
18;0;0;0;6;1;0;1;3;2;4;1;1;0;1;1
6;3;0;0;2;0;0;0;3;2;2;1;1;0;1;1
12;2;0;0;0;0;1;3;3;2;4;1;1;3;1;1
21;1;0;0;2;0;0;3;4;2;3;1;0;3;1;2
20;1;0;0;0;3;1;2;3;2;1;1;1;0;3;2
20;2;0;0;0;0;0;0;0;3;0;0;0;0;1;2
32;2;0;0;1;0;1;0;1;3;0;0;0;0;1;2
3;1;0;0;4;0;1;1;0;3;4;0;0;1;2;0
11;2;0;0;3;3;0;1;0;3;3;0;0;0;1;4
7;1;0;0;0;0;1;0;0;3;3;0;1;0;3;4
33;2;0;0;2;0;1;0;0;3;4;0;1;3;4;3
18;2;0;0;0;0;1;0;1;3;4;0;0;3;1;2
10;2;0;0;0;1;1;1;0;3;2;0;0;2;3;4
29;3;0;0;4;3;1;1;1;3;3;0;0;2;1;1
4;1;0;0;0;1;0;2;0;3;3;0;0;0;4;4
15;0;0;0;2;0;0;2;0;3;3;0;0;1;2;1
10;1;0;0;4;3;1;2;0;3;2;0;0;1;2;4
29;0;0;0;3;3;1;2;0;3;3;0;0;1;2;4
6;0;0;0;0;2;1;2;1;3;3;0;0;3;2;4
15;0;0;0;1;0;0;3;0;3;0;0;0;1;4;0
4;0;0;0;0;1;0;4;0;3;4;0;0;1;1;2
17;0;0;0;1;0;1;3;0;3;4;0;0;1;1;4
8;0;0;0;2;0;0;3;1;3;3;0;0;1;2;4
4;1;0;0;0;1;0;3;1;3;2;0;0;0;2;4
3;0;0;0;2;1;1;4;0;3;2;0;0;0;2;2
21;1;0;0;1;1;0;3;0;3;0;0;0;3;1;1
11;0;0;0;2;1;1;3;1;3;4;0;0;2;1;2
26;0;0;0;5;1;1;3;1;3;1;0;0;3;0;3
6;3;0;0;4;0;0;4;1;3;3;0;0;3;2;3
3;2;0;0;2;1;1;3;0;3;2;0;0;2;3;0
3;2;0;0;0;0;1;3;0;3;2;0;0;3;3;1
9;0;0;0;2;0;1;3;1;3;3;0;0;2;2;3
21;2;0;0;0;1;1;0;2;3;4;0;0;4;1;4
11;2;0;0;0;1;1;2;2;3;4;0;1;1;2;4
8;1;0;0;0;1;1;4;2;3;3;0;0;4;4;3
22;0;0;0;2;0;0;0;3;3;0;0;1;1;1;2
32;2;0;0;1;1;0;0;3;3;3;0;0;0;1;1
29;2;0;0;2;0;1;1;3;3;3;0;0;2;1;2
22;0;0;0;2;0;0;2;3;3;2;0;0;1;3;4
8;1;0;0;0;2;0;4;3;3;0;0;0;1;1;1
19;1;0;0;2;0;0;3;3;3;3;0;1;0;1;1
34;0;0;0;0;0;0;3;4;3;3;0;0;1;3;1
24;2;0;0;2;0;1;3;3;3;3;0;1;1;1;2
26;1;0;0;0;1;1;3;4;3;2;0;0;1;4;2
1;0;0;0;0;1;1;3;3;3;2;0;0;3;3;2
32;0;0;0;0;2;1;3;3;3;2;0;0;3;2;2
20;2;0;0;0;0;1;1;1;3;3;1;1;0;2;2
16;0;0;0;0;1;0;0;0;3;0;1;1;3;3;1
3;1;0;0;2;1;1;0;1;3;4;1;1;2;1;2
31;1;0;0;4;0;1;1;0;3;4;1;1;3;1;2
11;2;0;0;0;1;1;1;1;3;4;1;1;3;1;1
7;2;0;0;0;1;1;1;1;3;3;1;1;3;4;4
12;2;0;0;2;0;1;2;1;3;3;1;1;0;2;4
1;2;0;0;0;1;0;2;1;3;3;1;0;2;3;3
11;2;0;0;0;2;1;2;1;3;3;1;1;2;3;2
11;2;0;0;0;0;1;3;1;3;3;1;1;1;3;3
10;2;0;0;0;2;1;4;0;3;3;1;0;0;3;3
21;2;0;0;0;1;0;4;1;3;0;1;1;2;3;1
11;1;0;0;0;0;0;4;1;3;3;1;1;3;1;2
8;0;0;0;0;0;1;3;0;3;3;1;0;3;2;0
8;1;0;0;1;1;1;3;1;3;2;1;0;3;0;3
2;2;0;0;2;1;1;2;1;3;1;1;0;1;3;4
7;2;0;0;2;0;1;0;2;3;3;1;0;1;4;2
18;2;0;0;0;1;0;0;2;3;0;1;1;3;1;1
7;0;0;0;2;1;1;2;2;3;3;1;1;3;3;3
3;1;0;0;0;1;1;3;2;3;4;1;0;1;3;2
18;1;0;0;0;1;1;4;2;3;2;1;1;1;3;4
32;2;0;0;1;1;1;0;2;3;3;1;1;4;1;1
11;0;0;0;2;0;1;0;2;3;1;1;0;2;0;2
15;2;0;0;0;0;0;1;3;3;0;1;0;0;1;4
10;2;0;0;2;1;1;1;3;3;0;1;1;0;1;3
4;1;0;0;0;0;1;1;4;3;4;1;0;0;1;2
21;1;0;0;0;1;1;0;3;3;1;1;0;0;3;4
18;1;0;0;4;0;1;0;3;3;1;1;1;0;1;2
3;2;0;0;0;0;0;0;3;3;2;1;0;0;3;4
35;2;0;0;4;1;0;0;3;3;3;1;1;1;1;4
36;0;0;0;2;1;1;1;3;3;4;1;0;3;2;4
7;0;0;0;0;3;0;2;4;3;2;1;0;2;4;1
8;2;0;0;1;0;1;3;3;3;1;1;0;1;1;3
12;2;0;0;0;0;0;3;3;3;3;1;1;4;1;1
4;2;0;0;0;2;1;2;3;3;1;1;1;4;1;2
15;2;0;0;0;1;0;0;0;4;0;0;0;0;0;0
11;1;0;0;0;1;0;1;0;4;4;0;0;0;1;3
15;3;0;0;0;1;1;1;1;4;4;0;1;1;1;4
10;1;0;0;1;1;0;0;0;4;1;0;0;0;0;0
20;0;0;0;0;1;0;0;0;4;2;0;0;0;1;1
3;2;0;0;0;3;0;0;0;4;2;0;0;0;0;2
26;2;0;0;0;1;0;0;0;4;0;0;0;3;1;2
10;2;0;0;0;1;0;0;0;4;0;0;1;2;3;2
3;2;0;0;0;0;1;0;1;4;3;0;0;3;3;4
20;1;0;0;0;3;0;2;0;4;0;0;1;1;1;4
20;1;0;0;2;3;1;2;0;4;2;0;0;1;4;1
22;1;0;0;0;0;1;2;1;4;3;0;0;1;3;3
12;0;0;0;2;0;0;4;1;4;0;0;0;1;4;4
22;0;0;0;2;1;0;3;1;4;1;0;0;0;1;3
22;0;0;0;4;1;0;3;1;4;3;0;0;0;4;2
3;0;0;0;5;1;0;4;0;4;3;0;0;0;0;2
27;0;0;0;2;0;1;3;0;4;3;0;0;0;1;4
6;1;0;0;2;1;1;4;0;4;2;0;0;1;1;0
4;2;0;0;1;1;1;4;1;4;2;0;0;2;1;1
20;2;0;0;0;2;1;2;0;4;4;0;0;2;1;4
26;2;0;0;0;0;0;1;2;4;3;0;0;0;2;2
29;2;0;0;2;0;0;0;2;4;3;0;0;3;1;1
14;2;0;0;0;0;1;3;2;4;4;0;0;2;1;3
21;1;0;0;0;2;1;3;2;4;2;0;0;3;3;2
1;2;0;0;0;0;0;0;4;4;0;0;0;0;1;1
28;2;0;0;0;0;0;0;4;4;2;0;0;2;1;1
37;2;0;0;2;0;1;2;3;4;0;0;0;0;1;1
3;2;0;0;0;1;0;4;4;4;0;0;0;1;1;4
20;2;0;0;0;0;0;0;1;4;2;1;0;0;1;1
26;2;0;0;0;0;0;2;1;4;3;1;1;1;1;2
8;0;0;0;2;0;0;3;0;4;1;1;0;0;2;0
2;2;0;0;0;0;1;3;1;4;3;1;1;0;2;2
11;1;0;0;2;0;0;4;0;4;2;1;0;2;0;0
